0.173645423	0.174290392	0.173645423	0.173645423	1
1.10118E-08	2.19793E-08	1.10118E-08	1.10118E-08	1
3.60089E-09	4.7651E-09	3.60089E-09	3.60089E-09	1
4.47103E-08	5.82148E-08	4.47103E-08	4.47103E-08	1
-5.35752E-16	-8.45315E-16	-5.35752E-16	-5.35752E-16	1
-2.63517E-13	-4.00467E-12	-2.63517E-13	-2.63517E-13	1
-1.86561E-16	4.7491E-16	-1.86561E-16	-1.86561E-16	1
0.177479183	0.178311588	0.177479183	0.177479183	2
1.49E-07	6.99E-08	1.49E-07	1.49E-07	2
6.36E-08	6.57E-08	6.36E-08	6.36E-08	2
1.25E-06	1.46E-06	1.25E-06	1.25E-06	2
3.33E-13	4.34E-13	3.33E-13	3.33E-13	2
3.71E-10	2.69E-10	3.71E-10	3.71E-10	2
1.16E-13	1.28E-13	1.16E-13	1.16E-13	2
